series,run,length,percent_long,globally_contract
2,0,2,20,0
2,1,3,20,0
2,2,4,20,0
2,3,5,20,0
2,4,6,20,0
2,5,7,20,0
2,6,8,20,0
2,7,9,20,0
2,8,10,20,0
2,9,11,20,0
2,10,12,20,0
2,11,13,20,0
2,12,14,20,0
2,13,15,20,0
2,14,2,22,0
2,15,3,22,0
2,16,4,22,0
2,17,5,22,0
2,18,6,22,0
2,19,7,22,0
2,20,8,22,0
2,21,9,22,0
2,22,10,22,0
2,23,11,22,0
2,24,12,22,0
2,25,13,20,0
2,26,14,22,0
2,27,15,22,0
2,28,2,24,0
2,29,3,24,0
2,30,4,24,0
2,31,5,24,0
2,32,6,24,0
2,33,7,24,0
2,34,8,24,0
2,35,9,24,0
2,36,10,24,0
2,37,11,24,0
2,38,12,24,0
2,39,13,24,0
2,40,14,24,0
2,41,15,24,0
2,42,2,26,0
2,43,3,26,0
2,44,4,26,0
2,45,5,26,0
2,46,6,26,0
2,47,7,26,0
2,48,8,26,0
2,49,9,26,0
2,50,10,26,0
2,51,11,26,0
2,52,12,26,0
2,53,13,26,0
2,54,14,26,0
2,55,15,26,0
2,56,2,28,0
2,57,3,28,0
2,58,4,28,0
2,59,5,28,0
2,60,6,28,0
2,61,7,28,0
2,62,8,28,0
2,63,9,28,0
2,64,10,28,0
2,65,11,28,0
2,66,12,28,0
2,67,13,28,0
2,68,14,28,0
2,69,15,28,0
2,70,2,30,0
2,71,3,30,0
2,72,4,30,0
2,73,5,30,0
2,74,6,30,0
2,75,7,30,0
2,76,8,30,0
2,77,9,30,0
2,78,10,30,0
2,79,11,30,0
2,80,12,30,0
2,81,13,30,0
2,82,14,30,0
2,83,15,30,0
2,84,2,32,0
2,85,3,32,0
2,86,4,32,0
2,87,5,32,0
2,88,6,32,0
2,89,7,32,0
2,90,8,32,0
2,91,9,32,0
2,92,10,32,0
2,93,11,32,0
2,94,12,32,0
2,95,13,32,0
2,96,14,30,0
2,97,15,32,0
2,98,2,34,0
2,99,3,34,0
2,100,4,34,0
2,101,5,34,0
2,102,6,34,0
2,103,7,34,0
2,104,8,34,0
2,105,9,34,0
2,106,10,34,0
2,107,11,34,0
2,108,12,34,0
2,109,13,34,0
2,110,14,34,0
2,111,15,34,0
2,112,2,36,0
2,113,3,36,0
2,114,4,36,0
2,115,5,36,0
2,116,6,36,0
2,117,7,36,0
2,118,8,36,0
2,119,9,36,0
2,120,10,36,0
2,121,11,36,0
2,122,12,36,0
2,123,13,36,0
2,124,14,36,0
2,125,15,36,0
2,126,2,38,0
2,127,3,38,0
2,128,4,38,0
2,129,5,38,0
2,130,6,38,0
2,131,7,38,0
2,132,8,38,0
2,133,9,38,0
2,134,10,38,0
2,135,11,38,0
2,136,12,38,0
2,137,13,38,0
2,138,14,38,0
2,139,15,38,0
3,0,2,10,0
3,1,3,10,0
3,2,4,10,0
3,3,5,10,0
3,4,6,10,0
3,5,7,10,0
3,6,8,10,0
3,7,9,10,0
3,8,10,10,0
3,9,11,10,0
3,10,12,10,0
3,11,13,10,0
3,12,14,10,0
3,13,15,10,0
3,14,2,12,0
3,15,3,12,0
3,16,4,12,0
3,17,5,12,0
3,18,6,12,0
3,19,7,12,0
3,20,8,12,0
3,21,9,12,0
3,22,10,12,0
3,23,11,12,0
3,24,12,12,0
3,25,13,12,0
3,26,14,12,0
3,27,15,12,0
3,28,2,14,0
3,29,3,14,0
3,30,4,14,0
3,31,5,14,0
3,32,6,14,0
3,33,7,14,0
3,34,8,14,0
3,35,9,14,0
3,36,10,14,0
3,37,11,14,0
3,38,12,14,0
3,39,13,14,0
3,40,14,14,0
3,41,15,14,0
3,42,2,16,0
3,43,3,16,0
3,44,4,16,0
3,45,5,16,0
3,46,6,16,0
3,47,7,16,0
3,48,8,16,0
3,49,9,16,0
3,50,10,16,0
3,51,11,16,0
3,52,12,16,0
3,53,13,16,0
3,54,14,16,0
3,55,15,16,0
3,56,2,18,0
3,57,3,18,0
3,58,4,18,0
3,59,5,18,0
3,60,6,18,0
3,61,7,18,0
3,62,8,18,0
3,63,9,18,0
3,64,10,18,0
3,65,11,18,0
3,66,12,18,0
3,67,13,16,0
3,68,14,16,0
3,69,15,18,0
