series,run,length,percent_long,globally_contract
4,0,2,10,0
4,1,3,10,0
4,2,4,10,0
4,3,5,10,0
4,4,6,10,0
4,5,7,10,0
4,6,8,10,0
4,7,9,10,1
4,8,10,10,1
4,9,11,10,1
4,10,12,10,1
4,11,13,10,1
4,12,14,10,1
4,13,15,10,1
5,0,2,1,0
5,1,3,1,0
5,2,4,1,0
5,3,5,1,0
5,4,6,1,0
5,5,7,1,0
5,6,8,1,0
5,7,9,1,0
5,8,10,1,0
5,9,11,1,0
5,10,12,1,0
5,11,13,1,0
5,12,14,1,0
5,13,15,1,0
6,0,15,1,0
6,1,15,2,0
6,2,15,3,1
6,3,15,4,1
6,4,15,5,1
6,5,15,6,1
6,6,15,7,1
6,7,15,8,1
6,8,15,9,1
6,9,15,10,1
7,0,2,3,0
7,1,3,3,0
7,2,4,3,0
7,3,5,3,0
7,4,6,3,0
7,5,7,3,0
7,6,8,3,0
7,7,9,3,0
7,8,10,3,0
7,9,11,3,0
7,10,12,3,1
7,11,13,3,1
7,12,14,3,1
7,13,15,3,1
